All-Genes,Genes in same transcription unit,Accession-1,Left-End-Position
Rv1434,Rv1434 // Rv1433,Rv1434,1612256
Rv1435c,Rv1435c,Rv1435c,1612342
gap,tpi // pgk // gap,Rv1436,1613307
pgk,tpi // pgk // gap,Rv1437,1614329
tpi,tpi // pgk // gap,Rv1438,1615564
Rv1439c,Rv1439c,Rv1439c,1616961
secG,secG,Rv1440,1617837
PE_PGRS26,PE_PGRS26,Rv1441c,1618209
bisC,bisC,Rv1442,1619791
Rv1443c,Rv1443c,Rv1443c,1622207
Rv1444c,tkt // tal // zwf2 // opcA // devB // Rv1444c,Rv1444c,1623287
devB,tkt // tal // zwf2 // opcA // devB // Rv1444c,Rv1445c,1623714
opcA,tkt // tal // zwf2 // opcA // devB // Rv1444c,Rv1446c,1624454
zwf2,tkt // tal // zwf2 // opcA // devB // Rv1444c,Rv1447c,1625418
tal,tkt // tal // zwf2 // opcA // devB // Rv1444c,Rv1448c,1626959
tkt,tkt // tal // zwf2 // opcA // devB // Rv1444c,Rv1449c,1628097
PE_PGRS27,PE_PGRS27,Rv1450c,1630638
ctaB,ctaB,Rv1451,1635029
PE_PGRS28,PE_PGRS28,Rv1452c,1636004
Rv1453,Rv1453,Rv1453,1638381
qor,qor,Rv1454c,1639674
Rv1455,Rv1455,Rv1455,1640680
Rv1456c,Rv1458c // Rv1457c // Rv1456c,Rv1456c,1641493
Rv1457c,Rv1458c // Rv1457c // Rv1456c,Rv1457c,1642537
Rv1458c,Rv1458c // Rv1457c // Rv1456c,Rv1458c,1643319
Rv1459c,Rv1459c,Rv1459c,1644363
sufR,Rv1465 // csd // Rv1463 // Rv1462 // Rv1461 // sufR,Rv1460,1646186
Rv1461,Rv1465 // csd // Rv1463 // Rv1462 // Rv1461 // sufR,Rv1461,1646989
Rv1462,Rv1465 // csd // Rv1463 // Rv1462 // Rv1461 // sufR,Rv1462,1649526
Rv1463,Rv1465 // csd // Rv1463 // Rv1462 // Rv1461 // sufR,Rv1463,1650716
csd,Rv1465 // csd // Rv1463 // Rv1462 // Rv1461 // sufR,Rv1464,1651518
Rv1465,Rv1465 // csd // Rv1463 // Rv1462 // Rv1461 // sufR,Rv1465,1652768
Rv1466,Rv1466,Rv1466,1653231
fadE15,fadE15,Rv1467c,1653673
Rv1468c,Rv1468c,Rv1468c,1655609
ctpD,ctpD,Rv1469,1656963
trxA,Rv1473 // echA12 // trxB1 // trxA,Rv1470,1658980
trxB1,Rv1473 // echA12 // trxB1 // trxA,Rv1471,1659370
echA12,Rv1473 // echA12 // trxB1 // trxA,Rv1472,1659763
Rv1473,Rv1473 // echA12 // trxB1 // trxA,Rv1473,1660656
Rv1473A,Rv1473A,Rv1473A,1662381
Rv1474c,acn // Rv1474c,Rv1474c,1662641
acn,acn // Rv1474c,Rv1475c,1663215
Rv1476,Rv1476,Rv1476,1666204
ripA,Rv1478 // ripA,Rv1477,1666990
Rv1478,Rv1478 // ripA,Rv1478,1668419
moxR1,Rv1481 // Rv1480 // moxR1,Rv1479,1669283
Rv1480,Rv1481 // Rv1480 // moxR1,Rv1480,1670413
Rv1481,Rv1481 // Rv1480 // moxR1,Rv1481,1671377
Rv1482c,Rv1482c,Rv1482c,1672457
fabG1,hemZ // inhA // fabG1,Rv1483,1673440
inhA,hemZ // inhA // fabG1,Rv1484,1674202
hemZ,hemZ // inhA // fabG1,Rv1485,1675017
Rv1486c,Rv1486c,Rv1486c,1676017
Rv1487,Rv1489A // Rv1489 // Rv1488 // Rv1487,Rv1487,1676941
Rv1488,Rv1489A // Rv1489 // Rv1488 // Rv1487,Rv1488,1677397
Rv1489,Rv1489A // Rv1489 // Rv1488 // Rv1487,Rv1489,1678552
Rv1489A,Rv1489A // Rv1489 // Rv1488 // Rv1487,Rv1489A,1678942
Rv1490,Rv1490,Rv1490,1679322
Rv1491c,Rv1491c,Rv1491c,1681208
mutA,Rv1496 // mazF4 // mazE4 // mutB // mutA,Rv1492,1682157
mutB,Rv1496 // mazF4 // mazE4 // mutB // mutA,Rv1493,1684005
mazE4,Rv1496 // mazF4 // mazE4 // mutB // mutA,Rv1494,1686271
mazF4,Rv1496 // mazF4 // mazE4 // mutB // mutA,Rv1495,1686570
Rv1496,Rv1496 // mazF4 // mazE4 // mutB // mutA,Rv1496,1686884
lipL,lipL,Rv1497,1687941
Rv1498A,Rv1498A,Rv1498A,1690134
Rv1498c,Rv1498c,Rv1498c,1689303
Rv1499,Rv1499,Rv1499,1690407
Rv1500,Rv1501 // Rv1500,Rv1500,1690850
Rv1501,Rv1501 // Rv1500,Rv1501,1691890
Rv1502,Rv1502,Rv1502,1692924
Rv1503c,Rv1504c // Rv1503c,Rv1503c,1693996
Rv1504c,Rv1504c // Rv1503c,Rv1504c,1694545
Rv1505c,Rv1506c // Rv1505c,Rv1505c,1695281
Rv1506c,Rv1506c // Rv1505c,Rv1506c,1695943
Rv1507A,Rv1507A,Rv1507A,1697356
Rv1507c,Rv1507c,Rv1507c,1696727
Rv1508A,Rv1509 // Rv1508A,Rv1508A,1699866
Rv1508c,Rv1508c,Rv1508c,1698095
Rv1509,Rv1509 // Rv1508A,Rv1509,1700212
Rv1510,Rv1510,Rv1510,1701295
gmdA,Rv1513 // epiA // gmdA,Rv1511,1703074
epiA,Rv1513 // epiA // gmdA,Rv1512,1704093
Rv1513,Rv1513 // epiA // gmdA,Rv1513,1705058
Rv1514c,Rv1516c // Rv1515c // Rv1514c,Rv1514c,1705807
Rv1515c,Rv1516c // Rv1515c // Rv1514c,Rv1515c,1706630
Rv1516c,Rv1516c // Rv1515c // Rv1514c,Rv1516c,1707529
Rv1517,Rv1518 // Rv1517,Rv1517,1708871
Rv1518,Rv1518 // Rv1517,Rv1518,1709644
Rv1519,Rv1520 // Rv1519,Rv1519,1710733
Rv1520,Rv1520 // Rv1519,Rv1520,1711028
fadD25,fadD25,Rv1521,1712302
mmpL12,mmpL12,Rv1522c,1714172
Rv1523,Rv1524 // Rv1523,Rv1523,1717653
Rv1524,Rv1524 // Rv1523,Rv1524,1718726
wbbL2,wbbL2,Rv1525,1720017
Rv1526c,pks5 // Rv1526c,Rv1526c,1720780
pks5,pks5 // Rv1526c,Rv1527c,1722083
papA4,papA4,Rv1528c,1728953
fadD24,fadD24,Rv1529,1729502
adh,Rv1531 // adh,Rv1530,1731373
Rv1531,Rv1531 // adh,Rv1531,1732473
Rv1532c,Rv1532c,Rv1532c,1733116
Rv1533,Rv1534 // Rv1533,Rv1533,1733610
Rv1534,Rv1534 // Rv1533,Rv1534,1734734
Rv1535,Rv1535,Rv1535,1735976
ileS,ileS,Rv1536,1736519
dinX,dinX,Rv1537,1739856
ansA,ansA,Rv1538c,1741212
lspA,Rv1540 // lspA,Rv1539,1742244
Rv1540,Rv1540 // lspA,Rv1540,1742845
lprI,lprI,Rv1541c,1743778
glbN,glbN,Rv1542c,1744426
Rv1543,Rv1545 // Rv1544 // Rv1543,Rv1543,1745064
Rv1544,Rv1545 // Rv1544 // Rv1543,Rv1544,1746094
Rv1545,Rv1545 // Rv1544 // Rv1543,Rv1545,1746919
Rv1546,Rv1546,Rv1546,1747195
dnaE1,dnaE1,Rv1547,1747694
PPE21,PPE21,Rv1548c,1751297
fadD11.1,plsB1 // fadD11 // fadD11.1,Rv1549,1753510
fadD11,plsB1 // fadD11 // fadD11.1,Rv1550,1753716
plsB1,plsB1 // fadD11 // fadD11.1,Rv1551,1755445
frdA,frdD // frdC // frdB // frdA,Rv1552,1757681
frdB,frdD // frdC // frdB // frdA,Rv1553,1759435
frdC,frdD // frdC // frdB // frdA,Rv1554,1760175
frdD,frdD // frdC // frdB // frdA,Rv1555,1760552
Rv1556,Rv1556,Rv1556,1760997
mmpL6,vapC11 // vapB11 // ilvA // Rv1558 // mmpL6,Rv1557,1761744
Rv1558,vapC11 // vapB11 // ilvA // Rv1558 // mmpL6,Rv1558,1762947
ilvA,vapC11 // vapB11 // ilvA // Rv1558 // mmpL6,Rv1559,1763428
vapB11,vapC11 // vapB11 // ilvA // Rv1558 // mmpL6,Rv1560,1764755
vapC11,vapC11 // vapB11 // ilvA // Rv1558 // mmpL6,Rv1561,1764979
treZ,Rv1565c // treX // treY // treZ,Rv1562c,1765400
treY,Rv1565c // treX // treY // treZ,Rv1563c,1767135
treX,Rv1565c // treX // treY // treZ,Rv1564c,1769436
Rv1565c,Rv1565c // treX // treY // treZ,Rv1565c,1771640
Rv1566c,Rv1566c,Rv1566c,1773928
Rv1567c,Rv1567c,Rv1567c,1774860
bioA,Rv1571 // bioD // bioF1 // bioA,Rv1568,1775392
bioF1,Rv1571 // bioD // bioF1 // bioA,Rv1569,1776702
bioD,Rv1571 // bioD // bioF1 // bioA,Rv1570,1777859
Rv1571,Rv1571 // bioD // bioF1 // bioA,Rv1571,1778539
Rv1572c,Rv1572c,Rv1572c,1779194
Rv1573,Rv1573,Rv1573,1779314
Rv1574,Rv1575 // Rv1574,Rv1574,1779930
Rv1575,Rv1575 // Rv1574,Rv1575,1780199
Rv1576c,Rv1577c // Rv1576c,Rv1576c,1780643
Rv1577c,Rv1577c // Rv1576c,Rv1577c,1782072
Rv1578c,Rv1578c,Rv1578c,1782758
Rv1579c,Rv1581c // Rv1580c // Rv1579c,Rv1579c,1783309
Rv1580c,Rv1581c // Rv1580c // Rv1579c,Rv1580c,1783620
Rv1581c,Rv1581c // Rv1580c // Rv1579c,Rv1581c,1783906
Rv1582c,Rv1584c // Rv1583c // Rv1582c,Rv1582c,1784497
Rv1583c,Rv1584c // Rv1583c // Rv1582c,Rv1583c,1785912
Rv1584c,Rv1584c // Rv1583c // Rv1582c,Rv1584c,1786307
Rv1585c,Rv1586c // Rv1585c,Rv1585c,1786584
Rv1586c,Rv1586c // Rv1585c,Rv1586c,1787096
Rv1587c,Rv1588c // Rv1587c,Rv1587c,1788162
Rv1588c,Rv1588c // Rv1587c,Rv1588c,1789168
bioB,Rv1591 // Rv1590 // bioB,Rv1589,1790284
Rv1590,Rv1591 // Rv1590 // bioB,Rv1590,1791334
Rv1591,Rv1591 // Rv1590 // bioB,Rv1591,1791570
Rv1592c,Rv1592c,Rv1592c,1792400
Rv1593c,Rv1593c,Rv1593c,1793997
nadA,nadC // nadB // nadA,Rv1594,1794756
nadB,nadC // nadB // nadA,Rv1595,1795805
nadC,nadC // nadB // nadA,Rv1596,1797388
Rv1597,Rv1597,Rv1597,1798294
Rv1598c,Rv1598c,Rv1598c,1799073
hisD,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1599,1799583
hisC1,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1600,1800896
hisB,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1601,1802035
hisH,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1602,1802664
hisA,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1603,1803294
impA,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1604,1804039
hisF,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1605,1804853
hisI,hisI // hisF // impA // hisA // hisH // hisB // hisC1 // hisD,Rv1606,1805653
chaA,chaA,Rv1607,1806181
bcpB,bcpB,Rv1608c,1807298
trpE,lgt // trpA // trpB // trpC // Rv1610 // trpE,Rv1609,1807903
Rv1610,lgt // trpA // trpB // trpC // Rv1610 // trpE,Rv1610,1809443
trpC,lgt // trpA // trpB // trpC // Rv1610 // trpE,Rv1611,1810240
trpB,lgt // trpA // trpB // trpC // Rv1610 // trpE,Rv1612,1811127
trpA,lgt // trpA // trpB // trpC // Rv1610 // trpE,Rv1613,1812359
lgt,lgt // trpA // trpB // trpC // Rv1610 // trpE,Rv1614,1813171
Rv1615,Rv1616 // Rv1615,Rv1615,1815253
Rv1616,Rv1616 // Rv1615,Rv1616,1815683
pykA,tesB1 // pykA,Rv1617,1816189
tesB1,tesB1 // pykA,Rv1618,1817615
Rv1619,Rv1619,Rv1619,1818575
cydC,cydD // cydC,Rv1620c,1819963
cydD,cydD // cydC,Rv1621c,1821690
cydB,cydA // cydB,Rv1622c,1823360
cydA,cydA // cydB,Rv1623c,1824430
Rv1624c,cya // Rv1624c,Rv1624c,1825998
cya,cya // Rv1624c,Rv1625c,1826614
Rv1626,Rv1626,Rv1626,1828180
Rv1627c,Rv1628c // Rv1627c,Rv1627c,1828865
Rv1628c,Rv1628c // Rv1627c,Rv1628c,1830070
polA,polA,Rv1629,1830665
rpsA,coaE // rpsA,Rv1630,1833542
coaE,coaE // rpsA,Rv1631,1835013
Rv1632c,Rv1632c,Rv1632c,1836387
uvrB,Rv1634 // uvrB,Rv1633,1837075
Rv1634,Rv1634 // uvrB,Rv1634,1839168
Rv1635c,Rv1635c,Rv1635c,1840572
TB15.3,TB15.3,Rv1636,1842451
Rv1637c,Rv1637c,Rv1637c,1842898
uvrA,uvrA,Rv1638,1843741
Rv1638A,Rv1639c // Rv1638A,Rv1638A,1846716
Rv1639c,Rv1639c // Rv1638A,Rv1639c,1846989
lysX,lysX,Rv1640c,1848517
infC,infC,Rv1641,1852273
rpmI,rpmI,Rv1642,1852928
rplT,tsnR // rplT,Rv1643,1853184
tsnR,tsnR // rplT,Rv1644,1853606
Rv1645c,Rv1645c,Rv1645c,1854399
PE17,PE17,Rv1646,1855764
Rv1647,Rv1648 // Rv1647,Rv1647,1856774
Rv1648,Rv1648 // Rv1647,Rv1648,1857731
pheS,pheT // pheS,Rv1649,1858733
pheT,pheT // pheS,Rv1650,1859758
PE_PGRS30,PE_PGRS30,Rv1651c,1862347
argC,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1652,1865576
argJ,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1653,1866631
argB,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1654,1867842
argD,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1655,1868723
argF,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1656,1869922
argR,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1657,1870842
argG,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1658,1871363
argH,argH // argG // argR // argF // argD // argB // argJ // argC,Rv1659,1872639
pks10,pks10,Rv1660,1874160
pks7,pks9 // pks17 // pks8 // pks7,Rv1661,1875304
pks8,pks9 // pks17 // pks8 // pks7,Rv1662,1881704
pks17,pks9 // pks17 // pks8 // pks7,Rv1663,1886512
pks9,pks9 // pks17 // pks8 // pks7,Rv1664,1888026
pks11,pks11,Rv1665,1891226
cyp139,Rv1668c // Rv1667c // cyp139,Rv1666c,1892270
Rv1667c,Rv1668c // Rv1667c // cyp139,Rv1667c,1893577
Rv1668c,Rv1668c // Rv1667c // cyp139,Rv1668c,1894224
Rv1669,Rv1671 // Rv1670 // Rv1669,Rv1669,1895725
Rv1670,Rv1671 // Rv1670 // Rv1669,Rv1670,1896120
Rv1671,Rv1671 // Rv1670 // Rv1669,Rv1671,1896475
Rv1672c,Rv1672c,Rv1672c,1896876
Rv1673c,Rv1674c // Rv1673c,Rv1673c,1898300
Rv1674c,Rv1674c // Rv1673c,Rv1674c,1899260
cmr,cmr,Rv1675c,1900241
Rv1676,dsbF // Rv1676,Rv1676,1901047
dsbF,dsbF // Rv1676,Rv1677,1901748
Rv1678,moeX // Rv1680 // fadE16 // Rv1678,Rv1678,1902397
fadE16,moeX // Rv1680 // fadE16 // Rv1678,Rv1679,1903299
Rv1680,moeX // Rv1680 // fadE16 // Rv1678,Rv1680,1904429
moeX,moeX // Rv1680 // fadE16 // Rv1678,Rv1681,1905250
Rv1682,Rv1682,Rv1682,1906403
Rv1683,Rv1684 // Rv1683,Rv1683,1907594
Rv1684,Rv1684 // Rv1683,Rv1684,1910586
Rv1685c,Rv1686c // Rv1685c,Rv1685c,1910776
Rv1686c,Rv1686c // Rv1685c,Rv1686c,1911401
Rv1687c,Rv1687c,Rv1687c,1912153
mpg,tyrS // mpg,Rv1688,1912979
tyrS,tyrS // mpg,Rv1689,1913602
lprJ,recN // ppnK // tlyA // Rv1693 // Rv1692 // Rv1691 // lprJ,Rv1690,1915527
Rv1691,recN // ppnK // tlyA // Rv1693 // Rv1692 // Rv1691 // lprJ,Rv1691,1915949
Rv1692,recN // ppnK // tlyA // Rv1693 // Rv1692 // Rv1691 // lprJ,Rv1692,1916698
Rv1693,recN // ppnK // tlyA // Rv1693 // Rv1692 // Rv1691 // lprJ,Rv1693,1917756
tlyA,recN // ppnK // tlyA // Rv1693 // Rv1692 // Rv1691 // lprJ,Rv1694,1917940
ppnK,recN // ppnK // tlyA // Rv1693 // Rv1692 // Rv1691 // lprJ,Rv1695,1918746
recN,recN // ppnK // tlyA // Rv1693 // Rv1692 // Rv1691 // lprJ,Rv1696,1919683
Rv1697,mctB // Rv1697,Rv1697,1921542
mctB,mctB // Rv1697,Rv1698,1922745
pyrG,Rv1701 // Rv1700 // pyrG,Rv1699,1923829
Rv1700,Rv1701 // Rv1700 // pyrG,Rv1700,1925582
Rv1701,Rv1701 // Rv1700 // pyrG,Rv1701,1926202
Rv1702c,Rv1702c,Rv1702c,1927211
Rv1703c,Rv1703c,Rv1703c,1929131
cycA,PPE23 // PPE22 // cycA,Rv1704c,1929786
PPE22,PPE23 // PPE22 // cycA,Rv1705c,1931497
Rv1706A,Rv1706A,Rv1706A,1934482
PPE23,PPE23 // PPE22 // cycA,Rv1706c,1932694
Rv1707,engA // cmk // Rv1711 // scpB // scpA // Rv1708 // Rv1707,Rv1707,1934882
Rv1708,engA // cmk // Rv1711 // scpB // scpA // Rv1708 // Rv1707,Rv1708,1936360
scpA,engA // cmk // Rv1711 // scpB // scpA // Rv1708 // Rv1707,Rv1709,1937313
scpB,engA // cmk // Rv1711 // scpB // scpA // Rv1708 // Rv1707,Rv1710,1938146
Rv1711,engA // cmk // Rv1711 // scpB // scpA // Rv1708 // Rv1707,Rv1711,1938838
cmk,engA // cmk // Rv1711 // scpB // scpA // Rv1708 // Rv1707,Rv1712,1939599
engA,engA // cmk // Rv1711 // scpB // scpA // Rv1708 // Rv1707,Rv1713,1940288
Rv1714,Rv1717 // Rv1716 // fadB3 // Rv1714,Rv1714,1941853
fadB3,Rv1717 // Rv1716 // fadB3 // Rv1714,Rv1715,1942659
Rv1716,Rv1717 // Rv1716 // fadB3 // Rv1714,Rv1716,1943576
Rv1717,Rv1717 // Rv1716 // fadB3 // Rv1714,Rv1717,1944406
Rv1718,Rv1719 // Rv1718,Rv1718,1944809
Rv1719,Rv1719 // Rv1718,Rv1719,1945641
vapC12,vapB12 // vapC12,Rv1720c,1947030
vapB12,vapB12 // vapC12,Rv1721c,1947416
Rv1722,Rv1723 // Rv1722,Rv1722,1947861
Rv1723,Rv1723 // Rv1722,Rv1723,1949342
Rv1724c,Rv1725c // Rv1724c,Rv1724c,1950632
Rv1725c,Rv1725c // Rv1724c,Rv1725c,1951041
Rv1726,Rv1726,Rv1726,1951852
Rv1727,Rv1727,Rv1727,1953270
Rv1728c,Rv1729c // Rv1728c,Rv1728c,1953864
Rv1729c,Rv1729c // Rv1728c,Rv1729c,1954631
Rv1730c,Rv1730c,Rv1730c,1955692
gabD2,gabD2,Rv1731,1957677
Rv1732c,Rv1732c,Rv1732c,1959243
Rv1733c,Rv1733c,Rv1733c,1959855
Rv1734c,Rv1734c,Rv1734c,1960774
Rv1735c,Rv1735c,Rv1735c,1961291
narX,narK2 // narX,Rv1736c,1962228
narK2,narK2 // narX,Rv1737c,1964183
Rv1738,Rv1738,Rv1738,1965657
Rv1739c,Rv1739c,Rv1739c,1965955
vapB34,Rv1742 // vapC34 // vapB34,Rv1740,1967705
vapC34,Rv1742 // vapC34 // vapB34,Rv1741,1967917
Rv1742,Rv1742 // vapC34 // vapB34,Rv1742,1968173
pknE,pknE,Rv1743,1969004
Rv1744c,idi // Rv1744c,Rv1744c,1970989
idi,idi // Rv1744c,Rv1745c,1971380
pknF,pknF,Rv1746,1972138
Rv1747,Rv1747,Rv1747,1973630
Rv1748,Rv1748,Rv1748,1976600
Rv1749c,Rv1749c,Rv1749c,1977328
fadD1,fadD1,Rv1750c,1977969
Rv1751,Rv1751,Rv1751,1979621
Rv1752,Rv1752,Rv1752,1981130
PPE24,PPE24,Rv1753c,1981614
Rv1754c,Rv1754c,Rv1754c,1984979
plcD,plcD,Rv1755c,1986854
Rv1756c,Rv1757c // Rv1756c,Rv1756c,1987745
Rv1757c,Rv1757c // Rv1756c,Rv1757c,1988680
cut1,cut1,Rv1758,1989042
wag22,wag22,Rv1759c,1989833
Rv1760,Rv1760,Rv1760,1993153
Rv1761c,Rv1762c // Rv1761c,Rv1761c,1994671
Rv1762c,Rv1762c // Rv1761c,Rv1762c,1995054
Rv1763,Rv1764 // Rv1763,Rv1763,1996152
Rv1764,Rv1764 // Rv1763,Rv1764,1996427
Rv1765A,Rv1765A,Rv1765A,1999142
Rv1765c,Rv1765c,Rv1765c,1997418
Rv1766,Rv1766,Rv1766,1999737
Rv1767,Rv1767,Rv1767,2000074
PE_PGRS31,PE_PGRS31,Rv1768,2000614
Rv1769,Rv1771 // Rv1770 // Rv1769,Rv1769,2002626
Rv1770,Rv1771 // Rv1770 // Rv1769,Rv1770,2003878
Rv1771,Rv1771 // Rv1770 // Rv1769,Rv1771,2005161
Rv1772,Rv1772,Rv1772,2006636
Rv1773c,Rv1773c,Rv1773c,2007020
Rv1774,Rv1775 // Rv1774,Rv1774,2007832
Rv1775,Rv1775 // Rv1774,Rv1775,2009172
Rv1776c,Rv1776c,Rv1776c,2009995
cyp144,cyp144,Rv1777,2010656
Rv1778c,Rv1778c,Rv1778c,2012081
Rv1779c,Rv1779c,Rv1779c,2012686
Rv1780,Rv1780,Rv1780,2014699
malQ,malQ,Rv1781c,2015302
eccB5,eccC5 // eccB5,Rv1782,2017740
eccC5,eccC5 // eccB5,Rv1783,2019257
cyp143,cyp143,Rv1785c,2023447
Rv1786,Rv1786,Rv1786,2024828
PPE25,PPE25,Rv1787,2025301
PE18,PPE26 // PE18,Rv1788,2026477
PPE26,PPE26 // PE18,Rv1789,2026790
PPE27,PPE27,Rv1790,2028425
PE19,PE19,Rv1791,2029904
esxM,esxM,Rv1792,2030347
esxN,esxN,Rv1793,2030694
espG5,espG5,Rv1794,2031066
eccD5,eccD5,Rv1795,2032240
mycP5,eccA5 // eccE5 // mycP5,Rv1796,2033729
eccE5,eccA5 // eccE5 // mycP5,Rv1797,2035483
eccA5,eccA5 // eccE5 // mycP5,Rv1798,2036700
lppT,lppT,Rv1799,2039159
PPE28,PPE28,Rv1800,2039453
PPE29,PPE29,Rv1801,2042001
PPE30,PPE30,Rv1802,2043384
PE_PGRS32,PE_PGRS32,Rv1803c,2044923
Rv1804c,Rv1804c,Rv1804c,2047023
Rv1805c,Rv1805c,Rv1805c,2047687
PE20,PPE31 // PE20,Rv1806,2048072
PPE31,PPE31 // PE20,Rv1807,2048398
PPE32,PPE32,Rv1808,2049921
PPE33,PPE33,Rv1809,2051282
Rv1810,Rv1810,Rv1810,2052933
mgtC,mgtC,Rv1811,2053443
Rv1812c,Rv1812c,Rv1812c,2054157
Rv1813c,Rv1813c,Rv1813c,2055681
erg3,erg3,Rv1814,2056521
Rv1815,Rv1815,Rv1815,2057528
Rv1816,Rv1816,Rv1816,2058256
Rv1817,Rv1817,Rv1817,2059595
PE_PGRS33,PE_PGRS33,Rv1818c,2061178
bacA,bacA,Rv1819c,2062809
ilvG,secA2 // ilvG,Rv1820,2064799
secA2,secA2 // ilvG,Rv1821,2066457
pgsA2,gcvH // Rv1825 // Rv1824 // Rv1823 // pgsA2,Rv1822,2069080
Rv1823,gcvH // Rv1825 // Rv1824 // Rv1823 // pgsA2,Rv1823,2069702
Rv1824,gcvH // Rv1825 // Rv1824 // Rv1823 // pgsA2,Rv1824,2070654
Rv1825,gcvH // Rv1825 // Rv1824 // Rv1823 // pgsA2,Rv1825,2071036
gcvH,gcvH // Rv1825 // Rv1824 // Rv1823 // pgsA2,Rv1826,2071952
garA,Rv1828 // garA,Rv1827,2072596
Rv1828,Rv1828 // garA,Rv1828,2073081
Rv1829,Rv1829,Rv1829,2073943
Rv1830,Rv1830,Rv1830,2074841
Rv1831,Rv1831,Rv1831,2075571
gcvB,gcvB,Rv1832,2075877
Rv1833c,Rv1833c,Rv1833c,2078929
lipZ,lipZ,Rv1834,2079830
Rv1835c,Rv1836c // Rv1835c,Rv1835c,2080701
Rv1836c,Rv1836c // Rv1835c,Rv1836c,2082603
glcB,glcB,Rv1837c,2084756
vapC13,vapB13 // vapC13,Rv1838c,2087257
vapB13,vapB13 // vapC13,Rv1839c,2087649
PE_PGRS34,PE_PGRS34,Rv1840c,2087971
Rv1841c,Rv1842c // Rv1841c,Rv1841c,2089681
Rv1842c,Rv1842c // Rv1841c,Rv1842c,2090718
guaB1,blaI // blaR // gnd1 // guaB1,Rv1843c,2092259
gnd1,blaI // blaR // gnd1 // guaB1,Rv1844c,2093731
blaR,blaI // blaR // gnd1 // guaB1,Rv1845c,2095218
blaI,blaI // blaR // gnd1 // guaB1,Rv1846c,2096183
Rv1847,Rv1847,Rv1847,2096877
ureA,ureD // ureG // ureF // ureC // ureB // ureA,Rv1848,2097348
ureB,ureD // ureG // ureF // ureC // ureB // ureA,Rv1849,2097647
ureC,ureD // ureG // ureF // ureC // ureB // ureA,Rv1850,2097961
ureF,ureD // ureG // ureF // ureC // ureB // ureA,Rv1851,2099694
ureG,ureD // ureG // ureF // ureC // ureB // ureA,Rv1852,2100340
ureD,ureD // ureG // ureF // ureC // ureB // ureA,Rv1853,2101022
ndh,ndh,Rv1854c,2101651
Rv1855c,Rv1856c // Rv1855c,Rv1855c,2103184
Rv1856c,Rv1856c // Rv1855c,Rv1856c,2104146
modA,modC // modB // modA,Rv1857,2104985
modB,modC // modB // modA,Rv1858,2105773
modC,modC // modB // modA,Rv1859,2106574
apa,apa,Rv1860,2107736
Rv1861,Rv1861,Rv1861,2109165
adhA,adhA,Rv1862,2109544
Rv1863c,Rv1865c // Rv1864c // Rv1863c,Rv1863c,2110591
Rv1864c,Rv1865c // Rv1864c // Rv1863c,Rv1864c,2111354
Rv1865c,Rv1865c // Rv1864c // Rv1863c,Rv1865c,2112106
Rv1866,Rv1866,Rv1866,2113140
Rv1867,Rv1867,Rv1867,2115764
Rv1868,Rv1868,Rv1868,2117347
Rv1869c,Rv1869c,Rv1869c,2119460
Rv1870c,Rv1870c,Rv1870c,2120795
Rv1871c,lldD2 // Rv1871c,Rv1871c,2121495
lldD2,lldD2 // Rv1871c,Rv1872c,2121907
Rv1873,Rv1873,Rv1873,2123174
Rv1874,Rv1875 // Rv1874,Rv1874,2123684
Rv1875,Rv1875 // Rv1874,Rv1875,2124381
bfrA,bfrA,Rv1876,2125340
Rv1877,Rv1877,Rv1877,2125904
glnA3,Rv1879 // glnA3,Rv1878,2128022
Rv1879,Rv1879 // glnA3,Rv1879,2129377
cyp140,cyp140,Rv1880c,2130541
lppE,fbpB // Rv1885c // rpfC // Rv1883c // Rv1882c // lppE,Rv1881c,2131907
Rv1882c,fbpB // Rv1885c // rpfC // Rv1883c // Rv1882c // lppE,Rv1882c,2132370
Rv1883c,fbpB // Rv1885c // rpfC // Rv1883c // Rv1882c // lppE,Rv1883c,2133231
rpfC,fbpB // Rv1885c // rpfC // Rv1883c // Rv1882c // lppE,Rv1884c,2133731
Rv1885c,fbpB // Rv1885c // rpfC // Rv1883c // Rv1882c // lppE,Rv1885c,2134273
fbpB,fbpB // Rv1885c // rpfC // Rv1883c // Rv1882c // lppE,Rv1886c,2134890
Rv1887,Rv1887,Rv1887,2136258
Rv1888A,Rv1888A,Rv1888A,2138444
Rv1888c,Rv1888c,Rv1888c,2137519
